AbandonQuest 004dfe00
SetWorldDetail 00488dd0
ShowBattlefieldList 004ab8c0
ShowBuybackSellCursor 004fbbb0
ShowCloak 0048de70
ShowContainerSellCursor 004fa460
ShowFriendNameplates 00489470
ShowFriends 005ad340
ShowHelm 0048de20
ShowingCloak 0048ddc0
ShowingHelm 0048dd60
ShowInspectCursor 0048ac60
ShowInventorySellCursor 004c90b0
ShowMerchantSellCursor 004fbab0
ShowMiniWorldMapArrowFrame 004a9170
ShowNameplates 00489450
ShowRepairCursor 004fbcc0
ShowWorldMapArrowFrame 004a9120
SignPetition 004f46d0
SitOrStand 0048b920
SortAuctionItems 004cfc00
SortGuildRoster 004d1cb0
SortWho 005ad890
SpellCanTargetUnit 006e6d00
SpellIsTargeting 006e6cd0
SpellStopCasting 006e6e80
SpellStopTargeting 006e6e30
SpellTargetUnit 006e6d90
SplitContainerItem 004f9f70
StablePet 004cae50
StartAuction 004ce770
StartDuel 004d4c40
StartDuelUnit 004d4c90
StopCinematic 0048b970
StopMusic 00458770
StrafeLeftStart 00513fa0
StrafeLeftStop 00513fd0
StrafeRightStart 00514000
StrafeRightStop 00514030
Stuck 00489370
SubmitNumbers 004c4290
SwapRaidSubgroup 004bbb00
TakeInboxItem 004af8e0
TakeInboxMoney 004af7d0
TakeInboxTextItem 004afa60
TakeTaxiNode 004dcca0
TargetByName 00489d60
TargetLastEnemy 00489b40
TargetLastTarget 00489b00
TargetNearestEnemy 00489a80
TargetNearestFriend 00489aa0
TargetNearestPartyMember 00489ac0
TargetNearestRaidMember 00489ae0
TargetUnit 004899d0
TaxiGetDestX 004dce30
TaxiGetDestY 004dce80
TaxiGetSrcX 004dcd90
TaxiGetSrcY 004dcde0
TaxiNodeCost 004dcc20
TaxiNodeGetType 004dccf0
TaxiNodeName 004dcb30
TaxiNodePosition 004dcb80
TaxiNodeSetCurrent 004dcd40
ToggleAutoRun 00513de0
ToggleCollision 00489350
ToggleCollisionDisplay 00489360
ToggleMouseMove 0050b5a0
TogglePerformanceDisplay 00489400
TogglePerformanceValues 00489420
TogglePetAutocast 004be290
TogglePlayerBounds 00489440
TogglePortals 00489340
TogglePVP 0048d700
ToggleRun 00513d50
ToggleSheath 0048a070
ToggleSpellAutocast 004b4240
ToggleTris 00489330
TurnInGuildCharter 004f52d0
TurnLeftStart 00513ee0
TurnLeftStop 00513f10
TurnOrActionStart 00514120
TurnOrActionStop 00514160
TurnRightStart 00513f40
TurnRightStop 00513f70
TutorialsEnabled 004b5960
UninviteByName 0048a610
UninviteFromParty 0048a510
UninviteFromRaid 0048a580
UnitAffectingCombat 00517e10
UnitArmor 005192e0
UnitAttackBothHands 00518810
UnitAttackPower 00518f80
UnitAttackSpeed 00518e50
UnitBuff 00519500
UnitCanAssist 00516bb0
UnitCanAttack 00516c50
UnitCanCooperate 00516a70
UnitCharacterPoints 00519420
UnitClass 00518350
UnitClassification 00516d90
UnitCreatureFamily 0051a310
UnitCreatureType 0051a280
UnitDamage 00518c20
UnitDebuff 005198f0
UnitDefense 00519200
UnitExists 00515fb0
UnitFactionGroup 00516630
UnitHasRelicSlot 00519e50
UnitHealth 005174d0
UnitHealthMax 005175b0
UnitInParty 00516290
UnitInRaid 00516350
UnitIsCharmed 00516cf0
UnitIsCivilian 00519de0
UnitIsConnected 00517d50
UnitIsCorpse 005161c0
UnitIsDead 00517ac0
UnitIsDeadOrGhost 00517c70
UnitIsEnemy 00516890
UnitIsFriend 00516930
UnitIsGhost 00517b90
UnitIsPartyLeader 00516210
UnitIsPlayer 00516150
UnitIsPlusMob 00516d40
UnitIsPVP 00516460
UnitIsPVPFreeForAll 00516540
UnitIsTapped 00519c90
UnitIsTappedByPlayer 00519d00
UnitIsTrivial 00519d70
UnitIsUnit 00516070
UnitIsVisible 00516030
UnitLevel 00517fc0
UnitMana 00517670
UnitManaMax 005177e0
UnitName 00517020
UnitOnTaxi 00517a40
UnitPlayerControlled 00516410
UnitPlayerOrPetInParty 005162f0
UnitPlayerOrPetInRaid 005163b0
UnitPowerType 00517940
UnitPVPName 005172b0
UnitPVPRank 0051a8a0
UnitRace 00518200
UnitRangedAttack 00518b90
UnitRangedAttackPower 005190c0
UnitRangedDamage 00518910
UnitReaction 005167e0
UnitResistance 005184a0
UnitSex 00517e90
UnitStat 00518600
UnitXP 00517350
UnitXPMax 00517410
UnstablePet 004caf20
UpdateGMTicket 0048ca60
UpdateInventoryAlertStatus 004c9560
UpdateMapHighlight 004a7fa0
UpdateSpells 004b43e0
UpdateWorldMapArrowFrames 004a8d10
UseAction 004e7140
UseContainerItem 004fa0e0
UseInventoryItem 004c8de0
UseSoulstone 0048ad70
